ID	NA-
AL355385.2	0.0546
AL355916.3	0
AL355987.1	14.4994
AL355987.3	15.9096
AL357075.4	0
AL357556.3	0
AL357673.1	0
AL358113.1	0
AL358472.6	0.959
AL358472.7	0.1551
AL359092.3	0
AL359736.1	2.0619
AL359922.1	0
AL360181.3	0.3473
AL365205.1	30.8905
AL365214.2	0
AL365232.1	0
AL365273.2	0
AL391628.1	0
AL391650.1	0
AL391987.1	2.6147
AL391987.2	3.773
AL441992.2	0
AL445238.1	0.0262
AL445423.3	0
AL445524.2	0.063
AL445685.3	0
AL445989.1	17.7979
AL451007.3	0
AL451062.2	0
AL451106.1	0
AL451136.1	1.413
AL512428.1	0
AL512506.3	0
AL512785.2	0.089
AL513165.2	0.2722
AL583836.1	0.3229
AL589666.1	0
AL590132.1	0
AL590560.2	1.2196
AL590764.2	0
AL591806.2	0.1524
AL592490.1	40.4302
AL603764.2	0
AL603832.3	0.6787
AL627230.1	0.0882
AL627230.3	0
AL645922.1	0
AL645941.2	0
AL662884.4	0
AL662899.1	7.058
AL662899.2	1.3189
AL669918.1	0
AL672142.1	0
AL691442.1	0
AL713999.2	3.0953
AL772284.1	0.0502
AL807752.6	2.6803
AL807752.7	0
AL845331.1	0
AL928654.3	0
AL929554.1	0.8796
ALAD	11.9287
ALAS1	104.8662
ALAS2	0.0425
ALB	4.9803
ALCAM	0.5825
ALDH16A1	9.2955
ALDH18A1	22.2743
ALDH1A1	0.0641
ALDH1A2	3.4904
ALDH1A3	0.3217
ALDH1B1	32.7025
ALDH1L1	4.7416
ALDH1L2	3.8359
ALDH2	0.0267
ALDH3A1	4.7979
ALDH3A2	6.9227
ALDH3B1	32.3692
ALDH3B2	35.8907
ALDH4A1	0.0444
ALDH5A1	1.8076
ALDH6A1	15.4705
ALDH7A1	109.9607
ALDH8A1	743.8637
ALDH9A1	0.1022
ALDOA	26.0331
ALDOB	0.9788
ALDOC	15.5228
ALG1	9.1558
ALG10	7.0016
ALG10B	0
ALG11	1.4195
ALG12	0.4143
ALG13	18.3713
ALG14	6.9311
ALG1L	2.1651
ALG1L2	0
ALG2	8.7721
ALG3	0.0367
ALG5	47.4344
